fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126
20120618-R05-72XX.csv,38,7,1,1,1,1,38,1,5,38,38,1,1,1,38,1,1,38,1,25,1,25,4,5,38,1,1,1,154,38,1,25,38,22,1,7,1,7,38,1,38,38,38,38,38,38,38,1,1,1,1,1,1,1,1,1,1,1,154,1,1,154,1,1,217,1,231,1,1,10,1,19,1,4,1,39,1,1,38,38,38,38,1,38,1,38,1,22,1,38,1,38,1,1,1,7,1,38,1,38,1,38,1,38,1,5,38,1,5,38,1,5,38,1,38,36,1,30,1,30,1,30,1,30,1,30,1
20120618-R05-73XX.csv,1,1,107,11,5,11,1,13,1,1,1,5,11,40,1,5,17,1,9,1,33,1,1,1,1,384,25,332,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,34,34,36,40,42,37,39,41,33,40,107,1,118,320,1,328,332,1,344,1,385,347,1,90,1,92,1,90,1,40,17,1,1,1,1,13,1,13,1,11,1,11,1,11,1,11,4,4,1,5,1,11,1,11,1,11,1,11,1,1,11,1,1,11,1,1,11,1,1,25,1,11,1,9,1,9,1,9,1,9
20120619-R05-73XX.csv,1,1,107,13,5,13,1,13,1,1,1,5,13,40,1,5,17,1,11,1,33,1,1,1,1,346,25,304,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,34,34,36,40,42,37,39,41,33,40,107,1,122,290,1,300,304,1,316,1,347,526,1,244,1,228,1,226,1,142,17,1,1,1,1,13,1,13,1,13,1,13,1,13,1,11,4,4,1,5,1,11,1,11,1,11,1,11,1,1,13,1,1,13,1,1,13,1,1,25,1,13,1,11,1,11,1,11,1,11
20120621-R05-72XX.csv,7,6,1,1,1,1,7,1,4,7,7,1,1,1,7,1,1,7,1,7,1,6,4,4,7,1,1,1,9,7,1,7,7,5,1,5,1,6,7,1,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,1,1,10,1,10,1,1,10,1,10,1,4,1,4,1,1,7,7,7,7,1,7,1,7,1,5,1,7,1,7,1,1,1,6,1,7,1,7,1,7,1,7,1,4,7,1,4,7,1,4,7,1,7,7,1,7,1,7,1,7,1,7,1,7,1
20120621-R05-73XX.csv,1,1,64,7,5,7,1,7,1,1,1,5,7,31,1,5,13,1,15,1,28,1,1,1,1,89,23,74,1,1,5,1,1,1,5,1,4,1,1,9,1,1,1,1,1,1,1,25,25,29,29,29,30,30,30,28,31,64,1,70,74,1,74,74,1,88,1,90,244,1,524,1,426,1,400,1,198,13,1,1,1,1,7,1,7,1,7,1,7,1,7,1,7,4,4,1,5,1,7,1,7,1,7,1,7,1,1,7,1,1,7,1,1,7,1,1,27,1,17,1,15,1,15,1,15,1,15
20120622-R05-72XX.csv,12,7,1,1,1,1,12,1,5,12,12,1,1,1,12,1,1,12,1,9,1,9,4,5,12,1,1,1,15,12,1,9,12,10,1,7,1,7,12,1,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,15,1,1,15,1,1,19,1,19,1,1,10,1,102,1,4,1,8,1,1,12,12,12,12,1,12,1,12,1,10,1,12,1,12,1,1,1,7,1,12,1,12,1,12,1,12,1,5,12,1,5,12,1,5,12,1,12,10,1,10,1,10,1,10,1,10,1,10,1
20120622-R05-73XX.csv,1,1,64,7,5,7,1,7,1,1,1,5,7,31,1,5,15,1,29,1,28,1,1,1,1,91,19,74,1,1,5,1,1,1,5,1,4,1,1,9,1,1,1,1,1,1,1,25,25,29,29,29,30,30,30,28,31,64,1,70,74,1,74,74,1,90,1,92,228,1,426,1,513,1,449,1,247,15,1,1,1,1,7,1,7,1,7,1,7,1,7,1,7,4,4,1,5,1,7,1,7,1,7,1,7,1,1,7,1,1,7,1,1,7,1,1,23,1,35,1,29,1,29,1,29,1,29
20120623-R05-72XX.csv,4,3,1,1,1,1,4,1,1,4,4,1,1,1,4,1,1,4,1,4,1,3,4,1,4,1,1,1,3,4,1,4,4,3,1,3,1,3,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,4,1,4,1,1,4,1,4,1,4,1,4,1,1,4,4,4,4,1,4,1,4,1,3,1,4,1,4,1,1,1,3,1,4,1,4,1,4,1,4,1,1,4,1,1,4,1,1,4,1,4,4,1,4,1,4,1,4,1,4,1,4,1
20120623-R05-73XX.csv,1,1,64,7,5,7,1,7,1,1,1,5,7,31,1,5,13,1,27,1,28,1,1,1,1,89,19,74,1,1,5,1,1,1,5,1,4,1,1,9,1,1,1,1,1,1,1,25,25,29,29,29,30,30,30,28,31,64,1,70,74,1,74,74,1,88,1,90,226,1,400,1,449,1,506,1,247,13,1,1,1,1,7,1,7,1,7,1,7,1,7,1,7,4,4,1,5,1,7,1,7,1,7,1,7,1,1,7,1,1,7,1,1,7,1,1,23,1,33,1,27,1,27,1,27,1,27
20120625-R05-72XX.csv,18,3,1,1,1,1,18,1,1,18,18,1,1,1,18,1,1,18,1,15,1,15,4,1,18,1,1,1,4,18,1,15,18,11,1,4,1,3,18,1,18,18,18,18,18,18,18,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,39,1,39,1,1,4,1,8,1,4,1,55,1,1,18,18,18,18,1,18,1,18,1,11,1,18,1,18,1,1,1,3,1,18,1,18,1,18,1,18,1,1,18,1,1,18,1,1,18,1,18,24,1,18,1,18,1,18,1,18,1,18,1
